Player name,Origin Country,World Championship Wins,Years Won
Wilhelm Steinitz,Austria-Hungary,1,1886
Emanuel Lasker,Germany,8,1894-1921
José Capablanca,Cuba,1,1921
Alexander Alekhine,Russia/France,4,1927-1935, 1937
Max Euwe,Netherlands,1,1935
Mikhail Botvinnik,Soviet Union/Russia,6,1948-1957 1958-1960 1961-1963
Vassily Smyslov,Soviet Union/Russia,1,1957
Mikhail Tal,Soviet Union/Latvia,1,1960
Tigran Petrosian,Soviet Union/Armenia,2,1963-1969
Boris Spassky,Soviet Union/Russia,1,1969
Anatoly Karpov,Soviet Union/Russia,3,1975-1985
Garry Kasparov,Soviet Union/Russia,1985-1999
Alexander Khalifman,Russia,1,1999
Vishwanathan Anand,India,2,2000 and 2007
Ruslan Ponomariov,Ukraine,1,2002
Rustam Kasimdzhanov,Uzbekistan,1,2004
Veselin Topalov,Bulgaria,1,2005
Viswanathan Anand (2),India,2007–2013
Magnus Carlsen,Norway,4,2013-2021

